ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
4043,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,136,03/04/2019
4044,VOLKSWAGEN,2015,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,1895,03/04/2019
4045,MAZDA,2011,GUADALAJARA,JALISCO,FACIA TRASERA,4500,05/04/2019
4046,VOLKSWAGEN,2019,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA DELANTERA,2269,02/05/2019
4047,VOLKSWAGEN,2019,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FARO,2953,02/05/2019
4048,VOLKSWAGEN,2017,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,3312,09/04/2019
4049,VOLKSWAGEN,2017,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FARO,690,09/04/2019
4050,VOLKSWAGEN,2017,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FARO,3039,09/04/2019
4051,VOLKSWAGEN,2017,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FARO,3039,09/04/2019
4052,BMW,2017,CUAUHTEMOC,CIUDAD DE MÉXICO,FARO,32432,03/04/2019
4053,VOLKSWAGEN,2016,LEÓN,GUANAJUATO,FARO,1748,10/04/2019
4054,VOLKSWAGEN,2016,LEÓN,GUANAJUATO,FARO,1510,10/04/2019
4055,VOLKSWAGEN,2016,LEÓN,GUANAJUATO,FACIA TRASERA,5233,10/04/2019
4056,VOLKSWAGEN,2016,LEÓN,GUANAJUATO,FACIA DELANTERA,3751,10/04/2019
4057,VOLKSWAGEN,2016,LEÓN,GUANAJUATO,FACIA DELANTERA,310,10/04/2019
4058,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,136,05/04/2019
4059,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FARO,3907,05/04/2019
4060,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,2384,05/04/2019
4061,TOYOTA,2008,LEÓN,GUANAJUATO,FARO,1150,10/04/2019
4062,TOYOTA,2008,LEÓN,GUANAJUATO,FACIA DELANTERA,930,10/04/2019
4063,TOYOTA,2008,LEÓN,GUANAJUATO,FACIA DELANTERA,366,10/04/2019
4064,TOYOTA,2008,LEÓN,GUANAJUATO,FACIA DELANTERA,366,10/04/2019
4065,TOYOTA,2008,LEÓN,GUANAJUATO,FACIA DELANTERA,176,26/04/2019
4066,KIA,2019,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FARO,114,09/04/2019
4067,VOLKSWAGEN,2017,TOLUCA DE LERDO,ESTADO DE MEXICO,LLANTA,1785,10/04/2019
4068,VOLKSWAGEN,2017,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,266,09/04/2019
4069,VOLKSWAGEN,2017,COYOACAN,CIUDAD DE MÉXICO,FARO,690,09/04/2019
4070,VOLKSWAGEN,2017,COYOACAN,CIUDAD DE MÉXICO,FARO,150,09/04/2019
4071,VOLKSWAGEN,2017,COYOACAN,CIUDAD DE MÉXICO,FARO,3039,09/04/2019
4072,VOLKSWAGEN,2017,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,3312,09/04/2019
4073,VOLKSWAGEN,2014,GUADALAJARA,JALISCO,FACIA DELANTERA,215,01/04/2019
4074,BMW,2017,ZAPOPAN,JALISCO,FACIA TRASERA,17366,09/04/2019
4075,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,LLANTA,3126,01/04/2019
4076,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,508,01/04/2019
4077,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,1041,01/04/2019
4078,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,431,01/04/2019
